2024-11-22 12:48:21,925 - 12:48:20.930; 2; 8; 96040794181600; 96071838632100; 96072031956600; 310156732; 96072531343700; 96072531948500; 67%; 21 (-71 dBm); b'neutral'
2024-11-22 12:48:22,684 - 12:48:21.927; 2; 9; 96040794181600; 96072835281700; 96072960411600; 318251397; 96073459293500; 96073460013000; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:23,516 - 12:48:22.685; 2; 10; 96040794181600; 96073593830400; 96073841006200; 287129040; 96074259132100; 96074278096300; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:24,445 - 12:48:23.517; 2; 11; 96040794181600; 96074425092100; 96074607691100; 346533004; 96075190964600; 96075191676800; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:25,233 - 12:48:24.445; 2; 12; 96040794181600; 96075353431400; 96075576176300; 294680815; 96075991264400; 96075991998700; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:26,030 - 12:48:25.234; 3; 0; 96040794181600; 96076142325500; 96076269538600; 343167037; 96076791028000; 96076791407700; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:26,920 - 12:48:26.031; 3; 1; 96040794181600; 96076939803500; 96077079597900; 398368981; 96077671059000; 96077691394600; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:27,732 - 12:48:26.921; 3; 2; 96040794181600; 96077829376200; 96077961818400; 434197204; 96078469344900; 96078469843000; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:28,600 - 12:48:27.733; 3; 3; 96040794181600; 96078641188300; 96078869380400; 315008158; 96079385344300; 96079386139500; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:29,463 - 12:48:28.601; 3; 4; 96040794181600; 96079509666600; 96079687263700; 329819814; 96080191519700; 96080192840500; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:30,351 - 12:48:29.463; 3; 5; 96040794181600; 96080371060300; 96080609345200; 291387217; 96081098874600; 96081099736000; 67%; 21 (-71 dBm); b'neutral'
2024-11-22 12:48:31,047 - 12:48:30.352; 3; 6; 96040794181600; 96081260019000; 96081511347900; 269288581; 96081791068500; 96081791857900; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:31,925 - 12:48:31.048; 3; 7; 96040794181600; 96081956485200; 96082213786300; 254777629; 96082671595500; 96082685033300; 67%; 21 (-71 dBm); b'None'
2024-11-22 12:48:32,750 - 12:48:31.926; 3; 8; 96040794181600; 96082834641300; 96083001247600; 292425040; 96083518706600; 96083523948600; 67%; 21 (-71 dBm); b'neutral'
2024-11-22 12:48:33,444 - 12:48:32.751; 3; 9; 96040794181600; 96083659752400; 96083932576800; 305525238; 96084191071500; 96084191781700; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:34,365 - 12:48:33.446; 3; 10; 96040794181600; 96084354110100; 96084511296800; 285536647; 96085110636100; 96085111206700; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:35,319 - 12:48:34.366; 3; 11; 96040794181600; 96085274087800; 96085465381700; 342941397; 96086070991200; 96086071854500; 67%; 21 (-71 dBm); b'happy'
2024-11-22 12:48:36,192 - 12:48:35.320; 3; 12; 96040794181600; 96086228598100; 96086386852500; 300142657; 96086896595400; 96086900360200; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:37,108 - 12:48:36.193; 4; 0; 96040794181600; 96087101091900; 96087230452600; 351221933; 96087660386100; 96087660994200; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:37,875 - 12:48:37.109; 4; 1; 96040794181600; 96088017458200; 96088120876800; 389105059; 96088620340400; 96088621218100; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:38,898 - 12:48:37.876; 4; 2; 96040794181600; 96088783908600; 96088895560500; 427992341; 96089558034700; 96089559998000; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:39,710 - 12:48:38.899; 4; 3; 96040794181600; 96089807106800; 96089913024900; 314612975; 96090497404500; 96090498123600; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:40,434 - 12:48:39.711; 4; 4; 96040794181600; 96090619432200; 96090764911200; 336376985; 96091178571600; 96091179348000; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:41,036 - 12:48:40.435; 4; 5; 96040794181600; 96091343842400; 96091464997900; 291333490; 96091818377100; 96091819623700; 25 (-63 dBm); 80%; b'neutral'
2024-11-22 12:48:41,645 - 12:48:41.037; 4; 6; 96040794181600; 96091944828300; 96092060986600; 271732004; 96092391005300; 96092393149100; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:42,246 - 12:48:41.645; 4; 7; 96040794181600; 96092553281300; 96092706612600; 252171171; 96093028108300; 96093029142400; 25 (-63 dBm); 80%; b'None'
2024-11-22 12:48:42,975 - 12:48:42.247; 4; 8; 96040794181600; 96093155049000; 96093266869500; 296974691; 96093743236100; 96093743865000; 25 (-63 dBm); 80%; b'neutral'
