2024-12-03 08:53:43,956 - 08:53:43.418; 2; 5; 153171; 4263744495820; 1733212423495403340; 1.733212423513363e+18; 284413801; 1733212423872830595; 1733212423933850817; -56; 54/70; neutral; 56
2024-12-03 08:53:44,500 - 08:53:43.957; 2; 6; 160830; 4263744495820; 1733212424034867538; 1.7332124240562609e+18; 281199380; 1733212424414090929; 1733212424476293743; 55/70; -55; happy; 54
2024-12-03 08:53:45,010 - 08:53:44.501; 2; 7; 154911; 4263744495820; 1733212424579301947; 1.7332124245979302e+18; 251251881; 1733212424926187837; 1733212424986582759; -56; 54/70; None; 53
2024-12-03 08:53:45,561 - 08:53:45.010; 2; 8; 159371; 4263744495820; 1733212425087347664; 1.7332124251084564e+18; 295054840; 1733212425478063159; 1733212425537388979; -56; 54/70; neutral; 56
2024-12-03 08:53:46,120 - 08:53:45.561; 2; 9; 136689; 4263744495820; 1733212425639114928; 1.733212425654945e+18; 303852291; 1733212426036210382; 1733212426096661545; 64/70; -46; happy; 54
2024-12-03 08:53:46,668 - 08:53:46.120; 2; 10; 149083; 4263744495820; 1733212426199654944; 1.7332124262169718e+18; 288885922; 1733212426583704944; 1733212426644453377; -56; 54/70; happy; 54
2024-12-03 08:53:47,281 - 08:53:46.668; 3; 0; 140544; 4263744495820; 1733212426747565520; 1.7332124267629455e+18; 356375583; 1733212427197497484; 1733212427257931467; -56; 54/70; happy; 54
2024-12-03 08:53:47,939 - 08:53:47.281; 3; 1; 135250; 4263744495820; 1733212427359444032; 1.7332124273742438e+18; 404795097; 1733212427853879258; 1733212427915351830; -56; 54/70; happy; 54
2024-12-03 08:53:48,639 - 08:53:47.939; 3; 2; 142603; 4263744495820; 1733212428018935779; 1.7332124280337551e+18; 445204564; 1733212428555492725; 1733212428614776189; -56; 54/70; happy; 54
2024-12-03 08:53:49,232 - 08:53:48.639; 3; 3; 139179; 4263744495820; 1733212428720003027; 1.733212428740349e+18; 329280178; 1733212429148596564; 1733212429208849039; -56; 54/70; happy; 54
2024-12-03 08:53:49,814 - 08:53:49.232; 3; 4; 150641; 4263744495820; 1733212429312431101; 1.7332124293269117e+18; 328729839; 1733212429732770418; 1733212429792514108; -56; 54/70; happy; 54
2024-12-03 08:53:50,377 - 08:53:49.814; 3; 5; 153171; 4263744495820; 1733212429891294562; 1.7332124299109755e+18; 307662113; 1733212430293409875; 1733212430353473514; -56; 54/70; neutral; 56
2024-12-03 08:53:50,916 - 08:53:50.377; 3; 6; 160830; 4263744495820; 1733212430459782813; 1.7332124304784896e+18; 274723466; 1733212430832556178; 1733212430891751418; -56; 54/70; happy; 54
2024-12-03 08:53:51,436 - 08:53:50.916; 3; 7; 154911; 4263744495820; 1733212430994970557; 1.7332124310141524e+18; 263025008; 1733212431352392503; 1733212431412602651; -56; 54/70; None; 53
2024-12-03 08:53:51,983 - 08:53:51.437; 3; 8; 159371; 4263744495820; 1733212431514859518; 1.733212431531558e+18; 294064526; 1733212431900016833; 1733212431959744693; -56; 54/70; neutral; 56
2024-12-03 08:53:52,556 - 08:53:51.983; 3; 9; 136689; 4263744495820; 1733212432063328072; 1.733212432075115e+18; 321640586; 1733212432472423779; 1733212432532495623; -56; 54/70; happy; 54
2024-12-03 08:53:53,100 - 08:53:52.556; 3; 10; 149083; 4263744495820; 1733212432636703104; 1.733212432649188e+18; 289506461; 1733212433015411820; 1733212433076729124; -56; 54/70; happy; 54
2024-12-03 08:53:53,701 - 08:53:53.101; 4; 0; 140544; 4263744495820; 1733212433178731348; 1.7332124331934492e+18; 347783005; 1733212433618477731; 1733212433678130439; -56; 54/70; happy; 54
2024-12-03 08:53:54,352 - 08:53:53.701; 4; 1; 135250; 4263744495820; 1733212433778416891; 1.7332124337933883e+18; 400575949; 1733212434268363832; 1733212434328395980; -56; 54/70; happy; 54
2024-12-03 08:53:55,053 - 08:53:54.352; 4; 2; 142603; 4263744495820; 1733212434432410527; 1.7332124344464105e+18; 445454656; 1733212434969792893; 1733212435030243698; -56; 54/70; happy; 54
2024-12-03 08:53:55,640 - 08:53:55.054; 4; 3; 139179; 4263744495820; 1733212435130403352; 1.7332124351527089e+18; 329491071; 1733212435557393655; 1733212435616141726; -56; 54/70; happy; 54
2024-12-03 08:53:56,233 - 08:53:55.640; 4; 4; 150641; 4263744495820; 1733212435721451156; 1.733212435738492e+18; 333520586; 1733212436149517112; 1733212436209249786; -56; 54/70; happy; 54
2024-12-03 08:53:56,772 - 08:53:56.233; 4; 5; 153171; 4263744495820; 1733212436311753528; 1.7332124363258847e+18; 286124267; 1733212436688505899; 1733212436748050993; -56; 54/70; neutral; 56
2024-12-03 08:53:57,302 - 08:53:56.772; 4; 6; 160830; 4263744495820; 1733212436851313488; 1.7332124368710438e+18; 271151959; 1733212437217378142; 1733212437277966902; -56; 54/70; happy; 54
2024-12-03 08:53:57,813 - 08:53:57.302; 4; 7; 154911; 4263744495820; 1733212437379247190; 1.7332124373950182e+18; 257843115; 1733212437729778508; 1733212437790311071; -56; 54/70; None; 53
2024-12-03 08:53:58,382 - 08:53:57.813; 4; 8; 159371; 4263744495820; 1733212437892048924; 1.7332124379078508e+18; 312460760; 1733212438298464992; 1733212438358370143; -56; 54/70; neutral; 56
2024-12-03 08:53:58,967 - 08:53:58.382; 4; 9; 136689; 4263744495820; 1733212438464375439; 1.733212438477019e+18; 326483433; 1733212438882700346; 1733212438943878501; -56; 54/70; happy; 54
2024-12-03 08:53:59,513 - 08:53:58.967; 4; 10; 149083; 4263744495820; 1733212439046516224; 1.7332124390635566e+18; 288597428; 1733212439428996410; 1733212439488946099; -56; 54/70; happy; 54
2024-12-03 08:54:00,123 - 08:53:59.513; 5; 0; 140544; 4263744495820; 1733212439591025577; 1.733212439606219e+18; 355877154; 1733212440039050233; 1733212440100432048; -56; 54/70; happy; 54
2024-12-03 08:54:00,802 - 08:54:00.124; 5; 1; 135250; 4263744495820; 1733212440205090102; 1.7332124402170903e+18; 422074513; 1733212440716590599; 1733212440778267204; -56; 54/70; happy; 54
2024-12-03 08:54:01,516 - 08:54:00.802; 5; 2; 142603; 4263744495820; 1733212440880522189; 1.733212440906482e+18; 451096647; 1733212441432663022; 1733212441492454138; -56; 54/70; happy; 54
2024-12-03 08:54:02,110 - 08:54:01.516; 5; 3; 139179; 4263744495820; 1733212441595513613; 1.733212441615826e+18; 334378100; 1733212442027947048; 1733212442087116629; -56; 54/70; happy; 54
2024-12-03 08:54:02,716 - 08:54:02.111; 5; 4; 150641; 4263744495820; 1733212442192191205; 1.7332124422093878e+18; 342624641; 1733212442631483800; 1733212442690180351; -56; 54/70; happy; 54
2024-12-03 08:54:03,255 - 08:54:02.716; 5; 5; 153171; 4263744495820; 1733212442795349046; 1.7332124428153784e+18; 279174556; 1733212443171403318; 1733212443231338402; -56; 54/70; neutral; 56
2024-12-03 08:54:03,808 - 08:54:03.255; 5; 6; 160830; 4263744495820; 1733212443339404190; 1.7332124433540803e+18; 290619029; 1733212443724385428; 1733212443784032044; -56; 54/70; happy; 54
