2024-11-29 14:31:41,442 - 14:31:41.034; 2; 6; 160830; 11338656834045; 1732887101035596240; 1732887101111617807; 286658061; 1732887101393326979; 1732887101438848904; 0; 70/70; happy; 54
2024-11-29 14:31:41,852 - 14:31:41.442; 2; 7; 154911; 11338656834045; 1732887101444313209; 1732887101507574451; 268506880; 1732887101757205152; 1732887101848472913; 0; 70/70; None; 53
2024-11-29 14:31:42,500 - 14:31:41.852; 2; 8; 159371; 11338656834045; 1732887101854051664; 1732887101996201755; 312588333; 1732887102199790639; 1732887102269316305; 0; 70/70; neutral; 56
2024-11-29 14:31:42,978 - 14:31:42.501; 2; 9; 136689; 11338656834045; 1732887102502101433; 1732887102591288651; 328202815; 1732887102837718227; 1732887102974659237; 0; 70/70; happy; 54
2024-11-29 14:31:43,491 - 14:31:42.979; 2; 10; 149083; 11338656834045; 1732887102980628526; 1732887103046979214; 301356030; 1732887103320377815; 1732887103486807918; 0; 70/70; happy; 54
2024-11-29 14:31:44,105 - 14:31:43.491; 3; 0; 140544; 11338656834045; 1732887103492856722; 1732887103558415718; 365764267; 1732887103918234186; 1732887104101256204; 0; 70/70; happy; 54
2024-11-29 14:31:44,721 - 14:31:44.105; 3; 1; 135250; 11338656834045; 1732887104107418466; 1732887104174600972; 415400526; 1732887104560990029; 1732887104715855699; 0; 70/70; happy; 54
2024-11-29 14:31:45,437 - 14:31:44.721; 3; 2; 142603; 11338656834045; 1732887104722529927; 1732887104790589601; 477284594; 1732887105242921856; 1732887105432675390; 0; 70/70; happy; 54
2024-11-29 14:31:45,948 - 14:31:45.437; 3; 3; 139179; 11338656834045; 1732887105439347893; 1732887105506796551; 347760017; 1732887105858272240; 1732887105944525588; 0; 70/70; happy; 54
2024-11-29 14:31:46,563 - 14:31:45.948; 3; 4; 150641; 11338656834045; 1732887105950351126; 1732887106009140644; 348807275; 1732887106328148470; 1732887106558879626; 0; 70/70; happy; 54
2024-11-29 14:31:47,075 - 14:31:46.563; 3; 5; 153171; 11338656834045; 1732887106564946276; 1732887106637799902; 300479755; 1732887106909900798; 1732887107070879462; 0; 70/70; neutral; 56
2024-11-29 14:31:47,508 - 14:31:47.075; 3; 6; 160830; 11338656834045; 1732887107077121350; 1732887107146235827; 285836049; 1732887107282544587; 1732887107470780418; 0; 70/70; happy; 54
2024-11-29 14:31:47,928 - 14:31:47.508; 3; 7; 154911; 11338656834045; 1732887107509938415; 1732887107585671597; 258090368; 1732887107748758086; 1732887107864695723; 0; 70/70; None; 53
2024-11-29 14:31:48,541 - 14:31:47.928; 3; 8; 159371; 11338656834045; 1732887107929927450; 1732887108071362249; 308106983; 1732887108278846033; 1732887108335632073; 0; 70/70; neutral; 56
2024-11-29 14:31:49,054 - 14:31:48.541; 3; 9; 136689; 11338656834045; 1732887108543102030; 1732887108639719486; 315931094; 1732887108787093890; 1732887108967135917; 0; 70/70; happy; 54
2024-11-29 14:31:49,471 - 14:31:49.054; 3; 10; 149083; 11338656834045; 1732887109055926593; 1732887109133412359; 297006871; 1732887109479880771; 1732887109467100258; 0; 70/70; happy; 54
2024-11-29 14:31:49,942 - 14:31:49.471; 4; 0; 140544; 11338656834045; 1732887109472731563; 1732887109530995443; 365232439; 1732887109812228164; 1732887109924959603; 0; 70/70; happy; 54
2024-11-29 14:31:50,557 - 14:31:49.943; 4; 1; 135250; 11338656834045; 1732887109944343104; 1732887109999965885; 422320093; 1732887110295570979; 1732887110552894421; 0; 70/70; happy; 54
2024-11-29 14:31:51,141 - 14:31:50.557; 4; 2; 142603; 11338656834045; 1732887110559502594; 1732887110627131261; 463545364; 1732887110998250656; 1732887111123248516; 0; 70/70; happy; 54
2024-11-29 14:31:51,716 - 14:31:51.141; 4; 3; 139179; 11338656834045; 1732887111142820924; 1732887111225262992; 345463833; 1732887111445101196; 1732887111593640094; 0; 70/70; happy; 54
2024-11-29 14:31:52,222 - 14:31:51.717; 4; 4; 150641; 11338656834045; 1732887111718159467; 1732887111824952966; 359299896; 1732887112102411273; 1732887112185870968; 0; 70/70; happy; 54
2024-11-29 14:31:52,629 - 14:31:52.223; 4; 5; 153171; 11338656834045; 1732887112224434048; 1732887112324711730; 297189795; 1732887112554505636; 1732887112625550027; 0; 70/70; neutral; 56
2024-11-29 14:31:53,117 - 14:31:52.629; 4; 6; 160830; 11338656834045; 1732887112630437696; 1732887112691738073; 281985518; 1732887112910746882; 1732887113002278212; 0; 70/70; happy; 54
2024-11-29 14:31:53,484 - 14:31:53.118; 4; 7; 154911; 11338656834045; 1732887113119534226; 1732887113178145805; 269858761; 1732887113434677529; 1732887113480185835; 0; 70/70; None; 53
2024-11-29 14:31:53,936 - 14:31:53.484; 4; 8; 159371; 11338656834045; 1732887113485807222; 1732887113544510251; 312939068; 1732887113794508970; 1732887113932249617; 0; 70/70; neutral; 56
2024-11-29 14:31:54,448 - 14:31:53.936; 4; 9; 136689; 11338656834045; 1732887113938080366; 1732887113991910649; 325754748; 1732887114292377078; 1732887114444141679; 0; 70/70; happy; 54
2024-11-29 14:31:54,961 - 14:31:54.448; 4; 10; 149083; 11338656834045; 1732887114450071922; 1732887114550252267; 296929401; 1732887114783642989; 1732887114852347701; 0; 70/70; happy; 54
2024-11-29 14:31:55,575 - 14:31:54.961; 5; 0; 140544; 11338656834045; 1732887114963026355; 1732887115016192391; 374977661; 1732887115366697523; 1732887115570689317; 0; 70/70; happy; 54
2024-11-29 14:31:56,189 - 14:31:55.575; 5; 1; 135250; 11338656834045; 1732887115576771239; 1732887115673596894; 409739989; 1732887115991373904; 1732887116184869813; 0; 70/70; happy; 54
2024-11-29 14:31:56,905 - 14:31:56.189; 5; 2; 142603; 11338656834045; 1732887116191630046; 1732887116289823438; 452465360; 1732887116679938891; 1732887116901727335; 0; 70/70; happy; 54
2024-11-29 14:31:57,419 - 14:31:56.906; 5; 3; 139179; 11338656834045; 1732887116907488919; 1732887117003900918; 353663040; 1732887117292529820; 1732887117364052633; 0; 70/70; happy; 54
2024-11-29 14:31:57,929 - 14:31:57.419; 5; 4; 150641; 11338656834045; 1732887117421149358; 1732887117478426955; 353699240; 1732887117695514716; 1732887117925771283; 0; 70/70; happy; 54
2024-11-29 14:31:58,341 - 14:31:57.930; 5; 5; 153171; 11338656834045; 1732887117931762150; 1732887118014220463; 295351487; 1732887118240840850; 1732887118316014332; 0; 70/70; neutral; 56
2024-11-29 14:31:58,749 - 14:31:58.341; 5; 6; 160830; 11338656834045; 1732887118342777712; 1732887118393427749; 284728241; 1732887118688512571; 1732887118718959301; 0; 70/70; happy; 54
2024-11-29 14:31:59,109 - 14:31:58.750; 5; 7; 154911; 11338656834045; 1732887118751647772; 1732887118802865656; 265844849; 1732887119047084905; 1732887119105460574; 0; 70/70; None; 53
2024-11-29 14:31:59,568 - 14:31:59.109; 5; 8; 159371; 11338656834045; 1732887119110479187; 1732887119185809983; 328823875; 1732887119440556839; 1732887119564186959; 0; 70/70; neutral; 56
2024-11-29 14:31:59,998 - 14:31:59.568; 5; 9; 136689; 11338656834045; 1732887119573228646; 1732887119648657323; 329282632; 1732887119906780436; 1732887119993762873; 0; 70/70; happy; 54
2024-11-29 14:32:00,490 - 14:31:59.998; 5; 10; 149083; 11338656834045; 1732887120001973040; 1732887120046833401; 322208732; 1732887120404142354; 1732887120486021797; 0; 70/70; happy; 54
2024-11-29 14:32:01,035 - 14:32:00.491; 6; 0; 140544; 11338656834045; 1732887120492401327; 1732887120594813946; 369076269; 1732887120837641195; 1732887120948736880; 0; 70/70; happy; 54
2024-11-29 14:32:01,719 - 14:32:01.035; 6; 1; 135250; 11338656834045; 1732887121036689014; 1732887121120934758; 422464827; 1732887121487325895; 1732887121714803337; 0; 70/70; happy; 54
2024-11-29 14:32:02,538 - 14:32:01.719; 6; 2; 142603; 11338656834045; 1732887121721326030; 1732887121783700018; 452560372; 1732887122114548081; 1732887122534148098; 0; 70/70; happy; 54
2024-11-29 14:32:03,152 - 14:32:02.538; 6; 3; 139179; 11338656834045; 1732887122540383740; 1732887122621250071; 373358156; 1732887123037508548; 1732887123148409246; 0; 70/70; happy; 54
2024-11-29 14:32:03,767 - 14:32:03.152; 6; 4; 150641; 11338656834045; 1732887123153962310; 1732887123224630753; 400313184; 1732887123599841978; 1732887123762867838; 0; 70/70; happy; 54
2024-11-29 14:32:04,279 - 14:32:03.767; 6; 5; 153171; 11338656834045; 1732887123769217864; 1732887123838510168; 307871270; 1732887124122690209; 1732887124275176904; 0; 70/70; neutral; 56
2024-11-29 14:32:04,689 - 14:32:04.280; 6; 6; 160830; 11338656834045; 1732887124281581244; 1732887124336171748; 297632932; 1732887124606730861; 1732887124666205642; 0; 70/70; happy; 54
2024-11-29 14:32:05,131 - 14:32:04.690; 6; 7; 154911; 11338656834045; 1732887124691559866; 1732887124744739205; 250948259; 1732887124866623634; 1732887125032727412; 0; 70/70; None; 53
2024-11-29 14:32:05,641 - 14:32:05.132; 6; 8; 159371; 11338656834045; 1732887125133450681; 1732887125216834615; 329016928; 1732887125378774984; 1732887125553969163; 0; 70/70; neutral; 56
2024-11-29 14:32:06,059 - 14:32:05.641; 6; 9; 136689; 11338656834045; 1732887125642811727; 1732887125747619866; 312309299; 1732887126008301066; 1732887126055872775; 0; 70/70; happy; 54
2024-11-29 14:32:06,460 - 14:32:06.059; 6; 10; 149083; 11338656834045; 1732887126060993017; 1732887126142461924; 299386569; 1732887126377082265; 1732887126457000915; 0; 70/70; happy; 54
2024-11-29 14:32:06,941 - 14:32:06.461; 7; 0; 140544; 11338656834045; 1732887126462222589; 1732887126513382318; 350361289; 1732887126770083018; 1732887126937476501; 0; 70/70; happy; 54
2024-11-29 14:32:07,452 - 14:32:06.941; 7; 1; 135250; 11338656834045; 1732887126943338251; 1732887126994245078; 397596741; 1732887127258560250; 1732887127449420993; 0; 70/70; happy; 54
2024-11-29 14:32:08,170 - 14:32:07.452; 7; 2; 142603; 11338656834045; 1732887127456195999; 1732887127519572016; 442864322; 1732887127931818889; 1732887128166376389; 0; 70/70; happy; 54
2024-11-29 14:32:08,628 - 14:32:08.170; 7; 3; 139179; 11338656834045; 1732887128172309344; 1732887128268576103; 333557429; 1732887128495027353; 1732887128624863953; 0; 70/70; happy; 54
2024-11-29 14:32:09,195 - 14:32:08.628; 7; 4; 150641; 11338656834045; 1732887128629873572; 1732887128698758666; 365915960; 1732887129006683367; 1732887129190785104; 0; 70/70; happy; 54
2024-11-29 14:32:09,706 - 14:32:09.195; 7; 5; 153171; 11338656834045; 1732887129199561647; 1732887129257318139; 282999036; 1732887129519295916; 1732887129702473268; 0; 70/70; neutral; 56
2024-11-29 14:32:10,219 - 14:32:09.707; 7; 6; 160830; 11338656834045; 1732887129708630797; 1732887129809805153; 276375423; 1732887130018614386; 1732887130088957913; 0; 70/70; happy; 54
2024-11-29 14:32:10,629 - 14:32:10.220; 7; 7; 154911; 11338656834045; 1732887130221728593; 1732887130274416473; 257277838; 1732887130541828942; 1732887130625607070; 0; 70/70; None; 53
2024-11-29 14:32:11,242 - 14:32:10.629; 7; 8; 159371; 11338656834045; 1732887130631255611; 1732887130686884067; 305306831; 1732887130963592999; 1732887131238310698; 0; 70/70; neutral; 56
2024-11-29 14:32:11,959 - 14:32:11.242; 7; 9; 136689; 11338656834045; 1732887131247387783; 1732887131324538860; 325105539; 1732887131632817179; 1732887131955305251; 0; 70/70; happy; 54
2024-11-29 14:32:12,368 - 14:32:11.959; 7; 10; 149083; 11338656834045; 1732887131961340457; 1732887132059669464; 285469864; 1732887132232496578; 1732887132348630127; 0; 70/70; happy; 54
2024-11-29 14:32:12,827 - 14:32:12.368; 8; 0; 140544; 11338656834045; 1732887132370728794; 1732887132426182709; 353039862; 1732887132689807442; 1732887132823900711; 0; 70/70; happy; 54
2024-11-29 14:32:13,321 - 14:32:12.827; 8; 1; 135250; 11338656834045; 1732887132829407495; 1732887132879303402; 394549254; 1732887133141778827; 1732887133317667260; 0; 70/70; happy; 54
2024-11-29 14:32:14,008 - 14:32:13.321; 8; 2; 142603; 11338656834045; 1732887133323278515; 1732887133379053739; 442637199; 1732887133872719879; 1732887134003704897; 0; 70/70; happy; 54
